"","everwrk","age_p","r_maritl"
"1","1 Yes",47,"5 Divorced"
"2","1 Yes",18,"7 Never married"
"3","1 Yes",79,"4 Widowed"
"4","1 Yes",51,"6 Separated"
"5","1 Yes",43,"1 Married - spouse in household"
"6","1 Yes",41,"1 Married - spouse in household"
"7","2 No",21,"7 Never married"
"8","1 Yes",20,"7 Never married"
"9","1 Yes",33,"7 Never married"
"10","1 Yes",56,"1 Married - spouse in household"
"11","1 Yes",27,"7 Never married"
"12","1 Yes",44,"5 Divorced"
"13","1 Yes",54,"1 Married - spouse in household"
"14","1 Yes",36,"5 Divorced"
"15","1 Yes",33,"1 Married - spouse in household"
"16","1 Yes",62,"6 Separated"
"17","1 Yes",20,"1 Married - spouse in household"
"18","1 Yes",44,"1 Married - spouse in household"
"19","1 Yes",22,"7 Never married"
"20","1 Yes",47,"5 Divorced"
"21","1 Yes",39,"7 Never married"
"22","1 Yes",63,"5 Divorced"
"23","1 Yes",54,"5 Divorced"
"24","1 Yes",59,"1 Married - spouse in household"
"25","1 Yes",37,"1 Married - spouse in household"
"26","1 Yes",52,"1 Married - spouse in household"
"27","1 Yes",21,"7 Never married"
"28","1 Yes",58,"1 Married - spouse in household"
"29","1 Yes",35,"1 Married - spouse in household"
"30","1 Yes",52,"7 Never married"
"31","1 Yes",76,"4 Widowed"
"32","2 No",30,"1 Married - spouse in household"
"33","1 Yes",84,"4 Widowed"
"34","1 Yes",62,"4 Widowed"
"35","1 Yes",29,"1 Married - spouse in household"
"36","1 Yes",73,"5 Divorced"
"37","1 Yes",70,"4 Widowed"
"38","1 Yes",85,"1 Married - spouse in household"
"39","2 No",65,"7 Never married"
"40","1 Yes",36,"1 Married - spouse in household"
"41","1 Yes",73,"1 Married - spouse in household"
"42","1 Yes",52,"1 Married - spouse in household"
"43","1 Yes",48,"5 Divorced"
"44","1 Yes",75,"1 Married - spouse in household"
"45","1 Yes",85,"4 Widowed"
"46","1 Yes",34,"1 Married - spouse in household"
"47","1 Yes",53,"1 Married - spouse in household"
"48","1 Yes",38,"8 Living with partner"
"49","1 Yes",45,"1 Married - spouse in household"
"50","1 Yes",36,"1 Married - spouse in household"
"51","1 Yes",79,"4 Widowed"
"52","1 Yes",33,"8 Living with partner"
"53","1 Yes",48,"7 Never married"
"54","1 Yes",30,"7 Never married"
"55","1 Yes",36,"1 Married - spouse in household"
"56","2 No",81,"4 Widowed"
"57","2 No",28,"1 Married - spouse in household"
"58","1 Yes",36,"1 Married - spouse in household"
"59","1 Yes",65,"1 Married - spouse in household"
"60","2 No",72,"4 Widowed"
"61","1 Yes",46,"1 Married - spouse in household"
"62","1 Yes",68,"8 Living with partner"
"63","1 Yes",84,"4 Widowed"
"64","1 Yes",85,"4 Widowed"
"65","2 No",59,"7 Never married"
"66","1 Yes",82,"1 Married - spouse in household"
"67","1 Yes",50,"5 Divorced"
"68","2 No",80,"4 Widowed"
"69","1 Yes",70,"4 Widowed"
"70","1 Yes",40,"1 Married - spouse in household"
"71","1 Yes",62,"1 Married - spouse in household"
"72","1 Yes",35,"7 Never married"
"73","1 Yes",27,"8 Living with partner"
"74","2 No",55,"7 Never married"
"75","1 Yes",48,"1 Married - spouse in household"
"76","1 Yes",39,"7 Never married"
"77","2 No",39,"7 Never married"
"78","1 Yes",81,"1 Married - spouse in household"
"79","1 Yes",58,"1 Married - spouse in household"
"80","1 Yes",61,"1 Married - spouse in household"
"81","1 Yes",36,"7 Never married"
"82","1 Yes",60,"5 Divorced"
"83","1 Yes",50,"1 Married - spouse in household"
"84","1 Yes",63,"1 Married - spouse in household"
"85","1 Yes",63,"1 Married - spouse in household"
"86","2 No",77,"4 Widowed"
"87","1 Yes",58,"1 Married - spouse in household"
"88","1 Yes",79,"4 Widowed"
"89","1 Yes",56,"5 Divorced"
"90","1 Yes",63,"1 Married - spouse in household"
"91","1 Yes",22,"7 Never married"
"92","1 Yes",54,"5 Divorced"
"93","1 Yes",50,"1 Married - spouse in household"
"94","1 Yes",38,"7 Never married"
"95","1 Yes",22,"7 Never married"
"96","2 No",62,"6 Separated"
"97","2 No",39,"1 Married - spouse in household"
"98","2 No",53,"8 Living with partner"
"99","1 Yes",45,"2 Married - spouse not in household"
"100","1 Yes",41,"8 Living with partner"
"101","1 Yes",56,"5 Divorced"
"102","1 Yes",34,"1 Married - spouse in household"
"103","1 Yes",83,"4 Widowed"
"104","1 Yes",85,"4 Widowed"
"105","2 No",25,"7 Never married"
"106","1 Yes",74,"1 Married - spouse in household"
"107","1 Yes",28,"1 Married - spouse in household"
"108","1 Yes",54,"1 Married - spouse in household"
"109","1 Yes",40,"5 Divorced"
"110","1 Yes",52,"1 Married - spouse in household"
"111","1 Yes",44,"1 Married - spouse in household"
"112","1 Yes",24,"7 Never married"
"113","1 Yes",56,"1 Married - spouse in household"
"114","1 Yes",26,"8 Living with partner"
"115","1 Yes",45,"5 Divorced"
"116","1 Yes",49,"1 Married - spouse in household"
"117","1 Yes",60,"6 Separated"
"118","1 Yes",27,"8 Living with partner"
"119","1 Yes",32,"1 Married - spouse in household"
"120","1 Yes",79,"5 Divorced"
"121","1 Yes",56,"1 Married - spouse in household"
"122","1 Yes",77,"5 Divorced"
"123","2 No",74,"4 Widowed"
"124","1 Yes",80,"7 Never married"
"125","2 No",54,"1 Married - spouse in household"
"126","1 Yes",20,"7 Never married"
"127","2 No",61,"1 Married - spouse in household"
"128","1 Yes",21,"7 Never married"
"129","1 Yes",39,"1 Married - spouse in household"
"130","1 Yes",58,"1 Married - spouse in household"
"131","1 Yes",64,"1 Married - spouse in household"
"132","2 No",48,"1 Married - spouse in household"
"133","1 Yes",85,"1 Married - spouse in household"
"134","1 Yes",48,"1 Married - spouse in household"
"135","1 Yes",33,"1 Married - spouse in household"
"136","2 No",78,"4 Widowed"
"137","1 Yes",52,"6 Separated"
"138","1 Yes",30,"7 Never married"
"139","1 Yes",46,"1 Married - spouse in household"
"140","2 No",24,"7 Never married"
"141","1 Yes",23,"7 Never married"
"142","1 Yes",85,"4 Widowed"
"143","1 Yes",31,"5 Divorced"
"144","1 Yes",44,"1 Married - spouse in household"
"145","1 Yes",20,"1 Married - spouse in household"
"146","1 Yes",54,"7 Never married"
"147","1 Yes",65,"1 Married - spouse in household"
"148","1 Yes",68,"1 Married - spouse in household"
"149","1 Yes",23,"8 Living with partner"
"150","1 Yes",26,"7 Never married"
"151","1 Yes",76,"7 Never married"
"152","1 Yes",78,"4 Widowed"
"153","1 Yes",49,"1 Married - spouse in household"
"154","1 Yes",38,"6 Separated"
"155","1 Yes",24,"1 Married - spouse in household"
"156","1 Yes",37,"1 Married - spouse in household"
"157","1 Yes",31,"6 Separated"
"158","1 Yes",78,"4 Widowed"
"159","1 Yes",51,"1 Married - spouse in household"
"160","1 Yes",29,"7 Never married"
"161","1 Yes",26,"2 Married - spouse not in household"
"162","1 Yes",66,"5 Divorced"
"163","1 Yes",49,"4 Widowed"
"164","1 Yes",35,"1 Married - spouse in household"
"165","1 Yes",36,"1 Married - spouse in household"
"166","1 Yes",56,"1 Married - spouse in household"
"167","1 Yes",40,"1 Married - spouse in household"
"168","1 Yes",53,"1 Married - spouse in household"
"169","1 Yes",33,"1 Married - spouse in household"
"170","1 Yes",32,"1 Married - spouse in household"
"171","1 Yes",46,"5 Divorced"
"172","2 No",36,"7 Never married"
"173","1 Yes",36,"1 Married - spouse in household"
"174","1 Yes",29,"1 Married - spouse in household"
"175","2 No",24,"7 Never married"
"176","1 Yes",51,"1 Married - spouse in household"
